,Device.Name,AnimalID,Device.ID,Date...Time..GMT.,Date...Time..Local.,Latitude,Longitude,Altitude,Fix.Status,DOP,Temp..C.,Main..V.,Back..V.,Capture_Pasture,TimeStamp,TimeStamp1
92,HRG 196 K4,K4,41890,43310.66701,43310.33368,38.9995997,-123.0957803,240.76,3D-V Fix,1.8,23,3.52,3.52,Foster Bio,2018-7-29 09:00,7/29/18 9:00
93,HRG 192 F2,F2,41886,43310.66811,43310.33478,39.0184317,-123.0644667,651.21,3D-V Fix,2.2,29,3.52,0.08,Orchard,2018-7-29 09:02,7/29/18 9:02
94,HRG 192 F2,F2,41886,43310.70846,43310.37513,39.0182028,-123.0636725,665.12,3D-V Fix,3,29,3.6,0.08,Orchard,2018-7-29 10:00,7/29/18 10:00
95,HRG 196 K4,K4,41890,43310.70847,43310.37514,39.0000133,-123.0946775,228.54,3D-V Fix,2,27,3.52,3.6,Foster Bio,2018-7-29 10:00,7/29/18 10:00
96,HRG 194,A4,41888,43310.70862,43310.37529,39.03241,-123.0907792,566,3D-V Fix,2.2,33,3.52,3.6,James I,2018-7-29 10:00,7/29/18 10:00
97,HRG 196 K4,K4,41890,43310.75014,43310.41681,39.0013436,-123.0948181,241.62,3D-V Fix,4,29,3.6,3.6,Foster Bio,2018-7-29 11:00,7/29/18 11:00
98,HRG 194,A4,41888,43310.75016,43310.41683,39.0351672,-123.093275,580.62,3D-V Fix,5.4,33,3.52,3.6,James I,2018-7-29 11:00,7/29/18 11:00
99,HRG 192 F2,F2,41886,43310.75035,43310.41701,39.0184228,-123.0636092,660.37,3D-V Fix,2.4,30,3.52,0.16,Orchard,2018-7-29 11:00,7/29/18 11:00
100,HRG 192 F2,F2,41886,43310.79193,43310.4586,39.0196097,-123.0645625,658.18,3D-V Fix,1.8,33,3.6,0.08,Orchard,2018-7-29 12:00,7/29/18 12:00
101,HRG 196 K4,K4,41890,43310.79197,43310.45863,39.0010392,-123.0953489,243.62,3D-V Fix,2,33,3.52,3.6,Foster Bio,2018-7-29 12:00,7/29/18 12:00
102,HRG 194,A4,41888,43310.79222,43310.45889,39.0352553,-123.0928583,584.41,3D-V Fix,3,36,3.52,3.6,James I,2018-7-29 12:00,7/29/18 12:00
103,HRG 194,A4,41888,43310.83355,43310.50022,39.0353167,-123.0932194,582.36,3D-V Fix,2.8,37,3.52,3.6,James I,2018-7-29 13:00,7/29/18 13:00
104,HRG 192 F2,F2,41886,43310.83395,43310.50061,39.0195539,-123.0646042,653.11,3D-V Fix,4.6,35,3.52,0.08,Orchard,2018-7-29 13:00,7/29/18 13:00
105,HRG 196 K4,K4,41890,43310.83397,43310.50064,39.0010264,-123.0950103,248.56,3D-V Fix,2.8,36,3.52,3.6,Foster Bio,2018-7-29 13:00,7/29/18 13:00
106,HRG 194,A4,41888,43310.87519,43310.54185,39.0364122,-123.0924156,613.36,3D-V Fix,2.4,37,3.6,3.6,James I,2018-7-29 14:00,7/29/18 14:00
107,HRG 196 K4,K4,41890,43310.87522,43310.54189,39.0009414,-123.0949639,225.26,3D-V Fix,2,38,3.6,3.6,Foster Bio,2018-7-29 14:00,7/29/18 14:00
108,HRG 192 F2,F2,41886,43310.87529,43310.54196,39.0195708,-123.0647064,620.6,3D-V Fix,4.2,37,3.6,0.08,Orchard,2018-7-29 14:00,7/29/18 14:00
109,HRG 196 K4,K4,41890,43310.91674,43310.5834,39.0010236,-123.0952167,264.84,3D-V Fix,2,38,3.6,3.6,Foster Bio,2018-7-29 15:00,7/29/18 15:00
110,HRG 194,A4,41888,43310.91692,43310.58359,39.0364197,-123.0923142,626.64,3D-V Fix,2,38,3.52,3.6,James I,2018-7-29 15:00,7/29/18 15:00
111,HRG 192 F2,F2,41886,43310.91701,43310.58368,39.0195261,-123.0645631,655.31,3D-V Fix,2.6,37,3.6,0.08,Orchard,2018-7-29 15:00,7/29/18 15:00
112,HRG 196 K4,K4,41890,43310.95848,43310.62515,39.0008919,-123.0952497,195.5,3D-V Fix,2,38,3.6,3.6,Foster Bio,2018-7-29 16:00,7/29/18 16:00
113,HRG 194,A4,41888,43310.95853,43310.6252,39.0370892,-123.0918175,649.28,3D-V Fix,1.6,37,3.6,3.6,James I,2018-7-29 16:00,7/29/18 16:00
114,HRG 192 F2,F2,41886,43310.95889,43310.62556,39.0194756,-123.0646794,663.83,3D-V Fix,3.4,37,3.52,0.08,Orchard,2018-7-29 16:00,7/29/18 16:00
115,HRG 192 F2,F2,41886,43311.00012,43310.66678,39.0194531,-123.0646781,647.87,3D-V Fix,4.6,35,3.6,0.08,Orchard,2018-7-29 17:00,7/29/18 17:00
116,HRG 194,A4,41888,43311.00014,43310.66681,39.0369542,-123.0918631,678.87,3D-V Fix,4,36,3.6,3.6,James I,2018-7-29 17:00,7/29/18 17:00
117,HRG 196 K4,K4,41890,43311.00035,43310.66701,39.0010439,-123.0953244,222.3,3D-V Fix,2,38,3.52,3.6,Foster Bio,2018-7-29 17:00,7/29/18 17:00
118,HRG 196 K4,K4,41890,43311.04182,43310.70848,39.0004781,-123.0979478,182.31,3D-V Fix,2.2,36,3.6,3.6,Foster Bio,2018-7-29 18:00,7/29/18 18:00
119,HRG 194,A4,41888,43311.04201,43310.70868,39.0371008,-123.0917636,657.2,3D-V Fix,2,35,3.52,3.6,James I,2018-7-29 18:00,7/29/18 18:00
120,HRG 192 F2,F2,41886,43311.04231,43310.70898,39.0199261,-123.0652603,649.75,3D-V Fix,4.2,36,3.52,0.08,Orchard,2018-7-29 18:00,7/29/18 18:00
121,HRG 194,A4,41888,43311.08346,43310.75013,39.0361728,-123.0910728,654.08,3D-V Fix,2.2,32,3.6,3.6,James I,2018-7-29 19:00,7/29/18 19:00
122,HRG 192 F2,F2,41886,43311.08355,43310.75022,39.02001,-123.0674106,638.26,3D-V Fix,2.6,32,3.6,0.08,Orchard,2018-7-29 19:00,7/29/18 19:00
123,HRG 196 K4,K4,41890,43311.08367,43310.75034,38.9999222,-123.0966953,193.38,3D-V Fix,3.6,34,3.52,3.6,Foster Bio,2018-7-29 19:00,7/29/18 19:00
124,HRG 194,A4,41888,43311.12512,43310.79178,39.0365897,-123.0917233,660.5,3D-V Fix,2.8,31,3.6,3.6,James I,2018-7-29 20:00,7/29/18 20:00
125,HRG 196 K4,K4,41890,43311.12517,43310.79184,38.9997219,-123.0962186,214.48,3D-V Fix,3.4,32,3.52,3.52,Foster Bio,2018-7-29 20:00,7/29/18 20:00
126,HRG 192 F2,F2,41886,43311.12561,43310.79228,39.0195567,-123.0668356,646.37,3D-V Fix,1.6,31,3.52,0.08,Orchard,2018-7-29 20:00,7/29/18 20:00
127,HRG 196 K4,K4,41890,43311.16676,43310.83343,38.999815,-123.0963325,208.07,3D-V Fix,2.2,27,3.52,3.6,Foster Bio,2018-7-29 21:00,7/29/18 21:00
128,HRG 192 F2,F2,41886,43311.16686,43310.83353,39.0191192,-123.0649181,647.54,3D-V Fix,2.4,27,3.6,0.08,Orchard,2018-7-29 21:00,7/29/18 21:00
129,HRG 194,A4,41888,43311.16701,43310.83368,39.0363633,-123.0923408,631.18,3D-V Fix,1.6,28,3.52,3.6,James I,2018-7-29 21:00,7/29/18 21:00
130,HRG 192 F2,F2,41886,43311.20843,43310.87509,39.0174053,-123.0654542,604.42,3D-V Fix,2.4,25,3.6,0.08,Orchard,2018-7-29 22:00,7/29/18 22:00
131,HRG 196 K4,K4,41890,43311.20848,43310.87515,38.9994325,-123.0964561,230.3,3D-V Fix,3,25,3.52,3.52,Foster Bio,2018-7-29 22:00,7/29/18 22:00
132,HRG 194,A4,41888,43311.20854,43310.87521,39.0371172,-123.0917119,653.37,3D-V Fix,1.8,26,3.6,3.52,James I,2018-7-29 22:00,7/29/18 22:00
133,HRG 194,A4,41888,43311.25012,43310.91678,39.0373358,-123.0915647,639.3,3D-V Fix,2.8,26,3.52,3.6,James I,2018-7-29 23:00,7/29/18 23:00
134,HRG 192 F2,F2,41886,43311.25035,43310.91701,39.0173786,-123.0654511,604.89,3D-V Fix,2.8,25,3.52,0.16,Orchard,2018-7-29 23:00,7/29/18 23:00
135,HRG 196 K4,K4,41890,43311.25035,43310.91701,38.999615,-123.0958147,233.89,3D-V Fix,2,25,3.52,3.52,Foster Bio,2018-7-29 23:00,7/29/18 23:00
136,HRG 194,A4,41888,43311.29178,43310.95845,39.0373197,-123.0913181,639.92,3D-V Fix,3.2,26,3.6,3.52,James I,2018-7-30 00:00,7/30/18 0:00
137,HRG 192 F2,F2,41886,43311.29183,43310.9585,39.0173533,-123.0654264,611.55,3D-V Fix,3.2,25,3.6,0.16,Orchard,2018-7-30 00:00,7/30/18 0:00
138,HRG 196 K4,K4,41890,43311.29189,43310.95855,38.9997283,-123.0958183,215.17,3D-V Fix,2,25,3.52,3.52,Foster Bio,2018-7-30 00:00,7/30/18 0:00
139,HRG 196 K4,K4,41890,43311.33347,43311.00014,38.9996269,-123.0953986,235.44,3D-V Fix,2.6,23,3.52,3.52,Foster Bio,2018-7-30 01:00,7/30/18 1:00
140,HRG 194,A4,41888,43311.33368,43311.00035,39.0363267,-123.09122,666.34,3D-V Fix,1.8,25,3.52,3.52,James I,2018-7-30 01:00,7/30/18 1:00
141,HRG 192 F2,F2,41886,43311.33404,43311.00071,39.0173225,-123.0653722,611,3D-V Fix,6.4,24,3.52,0.16,Orchard,2018-7-30 01:01,7/30/18 1:01
142,HRG 194,A4,41888,43311.37521,43311.04188,39.0361092,-123.0911406,653.27,3D-V Fix,1.8,25,3.52,3.6,James I,2018-7-30 02:00,7/30/18 2:00
143,HRG 196 K4,K4,41890,43311.37532,43311.04199,38.9990075,-123.0955189,234.57,3D-V Fix,1.6,22,3.52,3.52,Foster Bio,2018-7-30 02:00,7/30/18 2:00
144,HRG 192 F2,F2,41886,43311.37556,43311.04222,39.0182283,-123.0650131,621.89,3D-V Fix,4,22,3.52,0.16,Orchard,2018-7-30 02:00,7/30/18 2:00
145,HRG 194,A4,41888,43311.41669,43311.08336,39.0364497,-123.0913044,655.87,3D-V Fix,1.8,24,3.52,3.6,James I,2018-7-30 03:00,7/30/18 3:00
146,HRG 192 F2,F2,41886,43311.41678,43311.08345,39.0189197,-123.0649353,643.12,3D-V Fix,2.6,23,3.6,0.16,Orchard,2018-7-30 03:00,7/30/18 3:00
147,HRG 196 K4,K4,41890,43311.41736,43311.08403,38.9987283,-123.0962028,231.52,3D-V Fix,2.4,21,3.52,3.52,Foster Bio,2018-7-30 03:00,7/30/18 3:00
148,HRG 196 K4,K4,41890,43311.45846,43311.12513,38.9985939,-123.0962139,234.06,3D-V Fix,3.2,21,3.52,3.52,Foster Bio,2018-7-30 04:00,7/30/18 4:00
