Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp,TimePeriod,Area
B14,3,6/26/2018 15:25,6/26/2018,15:25:40,Deer - Doe,6,6/26/2018 15:25,Pre,Outside
B14,3,6/26/2018 16:38,6/26/2018,16:38:50,Deer - Doe,6,6/26/2018 16:38,Pre,Outside
B14,4,6/26/2018 21:57,6/26/2018,21:57:26,Deer - Doe,6,6/26/2018 21:57,Pre,Outside
B14,3,6/27/2018 13:06,6/27/2018,13:06:56,Deer - Buck,6,6/27/2018 13:06,Pre,Outside
B14,3,6/27/2018 18:01,6/27/2018,18:01:50,Deer - Buck,6,6/27/2018 18:01,Pre,Outside
B14,3,6/27/2018 20:13,6/27/2018,20:13:25,Deer - Buck,6,6/27/2018 20:13,Pre,Outside
B14,3,6/27/2018 20:33,6/27/2018,20:33:49,Deer - Buck,6,6/27/2018 20:33,Pre,Outside
B14,4,6/27/2018 7:06,6/27/2018,7:06:33,Deer - Buck,6,6/27/2018 7:06,Pre,Outside
B14,4,6/27/2018 20:34,6/27/2018,20:34:39,Deer - Buck,6,6/27/2018 20:34,Pre,Outside
B14,4,6/27/2018 20:53,6/27/2018,20:53:53,Deer - Buck,6,6/27/2018 20:53,Pre,Outside
B14,5,6/27/2018 7:05,6/27/2018,7:05:58,Deer - Buck,6,6/27/2018 7:05,Pre,Outside
B14,2,6/27/2018 19:09,6/27/2018,19:09:45,Deer - Doe,6,6/27/2018 19:09,Pre,Outside
B14,3,6/27/2018 14:38,6/27/2018,14:38:28,Deer - Doe,6,6/27/2018 14:38,Pre,Outside
B14,4,6/27/2018 1:49,6/27/2018,1:49:07,Deer - Doe,6,6/27/2018 1:49,Pre,Outside
D16,4,6/27/2018 7:18,6/27/2018,7:18:45,Deer - Buck,6,6/27/2018 7:18,Pre,Outside
D16,4,6/27/2018 7:17,6/27/2018,7:17:57,Deer - Doe,6,6/27/2018 7:17,Pre,Outside
B14,3,6/28/2018 8:12,6/28/2018,8:12:46,Deer - Buck,6,6/28/2018 8:12,Pre,Outside
B14,3,6/28/2018 10:36,6/28/2018,10:36:54,Deer - Buck,6,6/28/2018 10:36,Pre,Outside
B14,3,6/28/2018 20:52,6/28/2018,20:52:01,Deer - Buck,6,6/28/2018 20:52,Pre,Outside
B14,4,6/28/2018 20:53,6/28/2018,20:53:37,Deer - Buck,6,6/28/2018 20:53,Pre,Outside
B14,3,6/28/2018 8:18,6/28/2018,8:18:23,Deer - Doe,6,6/28/2018 8:18,Pre,Outside
B14,3,6/28/2018 8:56,6/28/2018,8:56:51,Deer - Doe,6,6/28/2018 8:56,Pre,Outside
B14,3,6/28/2018 10:36,6/28/2018,10:36:11,Deer - Doe,6,6/28/2018 10:36,Pre,Outside
B14,3,6/28/2018 14:15,6/28/2018,14:15:58,Deer - Doe,6,6/28/2018 14:15,Pre,Outside
B14,3,6/28/2018 14:54,6/28/2018,14:54:50,Deer - Doe,6,6/28/2018 14:54,Pre,Outside
B14,3,6/28/2018 16:47,6/28/2018,16:47:45,Deer - Doe,6,6/28/2018 16:47,Pre,Outside
B14,3,6/28/2018 17:04,6/28/2018,17:04:15,Deer - Doe,6,6/28/2018 17:04,Pre,Outside
B14,3,6/28/2018 21:32,6/28/2018,21:32:20,Deer - Doe,6,6/28/2018 21:32,Pre,Outside
B14,3,6/28/2018 21:47,6/28/2018,21:47:39,Deer - Doe,6,6/28/2018 21:47,Pre,Outside
B14,3,6/28/2018 22:12,6/28/2018,22:12:19,Deer - Doe,6,6/28/2018 22:12,Pre,Outside
B14,4,6/28/2018 8:56,6/28/2018,8:56:53,Deer - Doe,6,6/28/2018 8:56,Pre,Outside
B14,4,6/28/2018 9:54,6/28/2018,9:54:42,Deer - Doe,6,6/28/2018 9:54,Pre,Outside
D12,4,6/28/2018 6:24,6/28/2018,6:24:17,Deer - Doe,6,6/28/2018 6:24,Pre,Outside
B14,2,6/29/2018 20:51,6/29/2018,20:51:52,Deer - Buck,6,6/29/2018 20:51,Pre,Outside
B14,3,6/29/2018 4:43,6/29/2018,4:43:42,Deer - Buck,6,6/29/2018 4:43,Pre,Outside
B14,3,6/29/2018 10:09,6/29/2018,10:09:02,Deer - Buck,6,6/29/2018 10:09,Pre,Outside
B14,3,6/29/2018 20:55,6/29/2018,20:55:23,Deer - Buck,6,6/29/2018 20:55,Pre,Outside
B14,4,6/29/2018 20:52,6/29/2018,20:52:28,Deer - Buck,6,6/29/2018 20:52,Pre,Outside
B14,3,6/29/2018 10:29,6/29/2018,10:29:43,Deer - Doe,6,6/29/2018 10:29,Pre,Outside
B14,3,6/29/2018 20:01,6/29/2018,20:01:18,Deer - Doe,6,6/29/2018 20:01,Pre,Outside
B14,3,6/29/2018 21:00,6/29/2018,21:00:17,Deer - Doe,6,6/29/2018 21:00,Pre,Outside
B14,3,6/29/2018 21:31,6/29/2018,21:31:39,Deer - Doe,6,6/29/2018 21:31,Pre,Outside
B14,4,6/29/2018 10:22,6/29/2018,10:22:18,Deer - Doe,6,6/29/2018 10:22,Pre,Outside
B14,4,6/29/2018 21:00,6/29/2018,21:00:23,Deer - Doe,6,6/29/2018 21:00,Pre,Outside
B14,3,6/30/2018 4:56,6/30/2018,4:56:37,Deer - Buck,6,6/30/2018 4:56,Pre,Outside
B14,3,6/30/2018 20:54,6/30/2018,20:54:37,Deer - Buck,6,6/30/2018 20:54,Pre,Outside
B14,3,6/30/2018 22:02,6/30/2018,22:02:06,Deer - Buck,6,6/30/2018 22:02,Pre,Outside
B14,3,6/30/2018 10:06,6/30/2018,10:06:15,Deer - Doe,6,6/30/2018 10:06,Pre,Outside
B14,3,6/30/2018 13:06,6/30/2018,13:06:58,Deer - Doe,6,6/30/2018 13:06,Pre,Outside
B14,3,6/30/2018 20:54,6/30/2018,20:54:37,Deer - Doe,6,6/30/2018 20:54,Pre,Outside
B14,3,6/30/2018 22:25,6/30/2018,22:25:32,Deer - Doe,6,6/30/2018 22:25,Pre,Outside
D12,4,6/30/2018 5:12,6/30/2018,5:12:34,Deer - Doe,6,6/30/2018 5:12,Pre,Outside
F10,3,6/30/2018 8:47,6/30/2018,8:47:12,Deer - Doe,6,6/30/2018 8:47,Pre,Outside
B14,3,7/1/2018 10:41,7/1/2018,10:41:14,Deer - Buck,7,7/1/2018 10:41,Pre,Outside
B14,3,7/1/2018 19:02,7/1/2018,19:02:57,Deer - Buck,7,7/1/2018 19:02,Pre,Outside
B14,2,7/1/2018 16:47,7/1/2018,16:47:37,Deer - Doe,7,7/1/2018 16:47,Pre,Outside
B14,2,7/1/2018 17:17,7/1/2018,17:17:10,Deer - Doe,7,7/1/2018 17:17,Pre,Outside
B14,3,7/1/2018 11:46,7/1/2018,11:46:14,Deer - Doe,7,7/1/2018 11:46,Pre,Outside
B14,3,7/1/2018 12:55,7/1/2018,12:55:56,Deer - Doe,7,7/1/2018 12:55,Pre,Outside
B14,3,7/1/2018 13:16,7/1/2018,13:16:16,Deer - Doe,7,7/1/2018 13:16,Pre,Outside
B14,3,7/1/2018 16:45,7/1/2018,16:45:06,Deer - Doe,7,7/1/2018 16:45,Pre,Outside
B14,4,7/1/2018 21:22,7/1/2018,21:22:12,Deer - Doe,7,7/1/2018 21:22,Pre,Outside
B14,4,7/1/2018 22:33,7/1/2018,22:33:28,Deer - Doe,7,7/1/2018 22:33,Pre,Outside
B14,3,7/2/2018 5:02,7/2/2018,5:02:04,Deer - Buck,7,7/2/2018 5:02,Pre,Outside
B14,4,7/2/2018 5:02,7/2/2018,5:02:13,Deer - Buck,7,7/2/2018 5:02,Pre,Outside
B14,3,7/2/2018 8:09,7/2/2018,8:09:45,Deer - Doe,7,7/2/2018 8:09,Pre,Outside
B14,3,7/2/2018 17:29,7/2/2018,17:29:37,Deer - Doe,7,7/2/2018 17:29,Pre,Outside
B14,3,7/2/2018 17:46,7/2/2018,17:46:18,Deer - Doe,7,7/2/2018 17:46,Pre,Outside
B14,4,7/2/2018 3:32,7/2/2018,3:32:16,Deer - Doe,7,7/2/2018 3:32,Pre,Outside
B14,4,7/2/2018 8:11,7/2/2018,8:11:29,Deer - Doe,7,7/2/2018 8:11,Pre,Outside
B14,4,7/2/2018 8:35,7/2/2018,8:35:47,Deer - Doe,7,7/2/2018 8:35,Pre,Outside
B14,4,7/2/2018 11:40,7/2/2018,11:40:15,Deer - Doe,7,7/2/2018 11:40,Pre,Outside
B14,4,7/2/2018 21:24,7/2/2018,21:24:47,Deer - Doe,7,7/2/2018 21:24,Pre,Outside
B14,3,7/3/2018 8:42,7/3/2018,8:42:55,Deer - Buck,7,7/3/2018 8:42,Pre,Outside
B14,3,7/3/2018 14:50,7/3/2018,14:50:24,Deer - Buck,7,7/3/2018 14:50,Pre,Outside
B14,2,7/3/2018 16:10,7/3/2018,16:10:52,Deer - Doe,7,7/3/2018 16:10,Pre,Outside
B14,3,7/3/2018 15:40,7/3/2018,15:40:54,Deer - Doe,7,7/3/2018 15:40,Pre,Outside
B14,4,7/3/2018 4:15,7/3/2018,4:15:23,Deer - Doe,7,7/3/2018 4:15,Pre,Outside
B14,4,7/3/2018 8:37,7/3/2018,8:37:50,Deer - Doe,7,7/3/2018 8:37,Pre,Outside
B14,4,7/3/2018 14:10,7/3/2018,14:10:29,Deer - Doe,7,7/3/2018 14:10,Pre,Outside
B14,4,7/3/2018 14:52,7/3/2018,14:52:06,Deer - Doe,7,7/3/2018 14:52,Pre,Outside
B14,4,7/3/2018 21:15,7/3/2018,21:15:01,Deer - Doe,7,7/3/2018 21:15,Pre,Outside
B14,1,7/4/2018 20:16,7/4/2018,20:16:15,Deer - Doe,7,7/4/2018 20:16,Pre,Outside
B14,2,7/4/2018 8:25,7/4/2018,8:25:17,Deer - Doe,7,7/4/2018 8:25,Pre,Outside
B14,2,7/4/2018 11:24,7/4/2018,11:24:57,Deer - Doe,7,7/4/2018 11:24,Pre,Outside
B14,2,7/4/2018 15:54,7/4/2018,15:54:48,Deer - Doe,7,7/4/2018 15:54,Pre,Outside
B14,2,7/4/2018 18:34,7/4/2018,18:34:43,Deer - Doe,7,7/4/2018 18:34,Pre,Outside
B14,2,7/4/2018 20:16,7/4/2018,20:16:45,Deer - Doe,7,7/4/2018 20:16,Pre,Outside
B14,3,7/4/2018 8:36,7/4/2018,8:36:27,Deer - Doe,7,7/4/2018 8:36,Pre,Outside
B14,3,7/4/2018 10:07,7/4/2018,10:07:40,Deer - Doe,7,7/4/2018 10:07,Pre,Outside
B14,3,7/4/2018 18:32,7/4/2018,18:32:51,Deer - Doe,7,7/4/2018 18:32,Pre,Outside
B14,3,7/4/2018 20:47,7/4/2018,20:47:00,Deer - Doe,7,7/4/2018 20:47,Pre,Outside
B14,3,7/4/2018 23:50,7/4/2018,23:50:40,Deer - Doe,7,7/4/2018 23:50,Pre,Outside
B14,4,7/4/2018 1:45,7/4/2018,1:45:05,Deer - Doe,7,7/4/2018 1:45,Pre,Outside
B14,4,7/4/2018 15:58,7/4/2018,15:58:49,Deer - Doe,7,7/4/2018 15:58,Pre,Outside
B14,4,7/4/2018 23:52,7/4/2018,23:52:16,Deer - Doe,7,7/4/2018 23:52,Pre,Outside
D14,4,7/4/2018 17:39,7/4/2018,17:39:45,Deer - Doe,7,7/4/2018 17:39,Pre,Outside
E15,3,7/4/2018 20:24,7/4/2018,20:24:40,Deer - Doe,7,7/4/2018 20:24,Pre,Outside
F10,4,7/4/2018 8:10,7/4/2018,8:10:17,Deer - Doe,7,7/4/2018 8:10,Pre,Outside
A13,4,7/5/2018 19:35,7/5/2018,19:35:28,Deer - Doe,7,7/5/2018 19:35,Pre,Outside
B14,4,7/5/2018 21:36,7/5/2018,21:36:46,Deer - Buck,7,7/5/2018 21:36,Pre,Outside
B14,5,7/5/2018 21:36,7/5/2018,21:36:45,Deer - Buck,7,7/5/2018 21:36,Pre,Outside
B14,2,7/5/2018 15:26,7/5/2018,15:26:40,Deer - Doe,7,7/5/2018 15:26,Pre,Outside
B14,3,7/5/2018 9:17,7/5/2018,9:17:05,Deer - Doe,7,7/5/2018 9:17,Pre,Outside
B14,3,7/5/2018 11:35,7/5/2018,11:35:02,Deer - Doe,7,7/5/2018 11:35,Pre,Outside
B14,3,7/5/2018 19:00,7/5/2018,19:00:34,Deer - Doe,7,7/5/2018 19:00,Pre,Outside
B14,3,7/5/2018 21:26,7/5/2018,21:26:44,Deer - Doe,7,7/5/2018 21:26,Pre,Outside
B14,3,7/5/2018 21:59,7/5/2018,21:59:31,Deer - Doe,7,7/5/2018 21:59,Pre,Outside
B14,4,7/5/2018 0:42,7/5/2018,0:42:03,Deer - Doe,7,7/5/2018 0:42,Pre,Outside
B14,4,7/5/2018 15:29,7/5/2018,15:29:05,Deer - Doe,7,7/5/2018 15:29,Pre,Outside
B14,4,7/5/2018 21:24,7/5/2018,21:24:12,Deer - Doe,7,7/5/2018 21:24,Pre,Outside
D14,3,7/5/2018 12:32,7/5/2018,12:32:44,Deer - Doe,7,7/5/2018 12:32,Pre,Outside
B14,2,7/6/2018 7:53,7/6/2018,7:53:08,Deer - Buck,7,7/6/2018 7:53,Pre,Outside
B14,3,7/6/2018 7:56,7/6/2018,7:56:01,Deer - Buck,7,7/6/2018 7:56,Pre,Outside
B14,3,7/6/2018 12:43,7/6/2018,12:43:15,Deer - Buck,7,7/6/2018 12:43,Pre,Outside
