,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
728,B14,3,8/19/2018 22:26,8/19/2018,22:26:35,Deer - Buck,8,8/19/2018 22:26
729,B14,3,8/19/2018 22:42,8/19/2018,22:42:01,Deer - Buck,8,8/19/2018 22:42
730,B14,2,8/19/2018 14:45,8/19/2018,14:45:32,Deer - Doe,8,8/19/2018 14:45
731,B14,3,8/20/2018 1:05,8/20/2018,1:05:15,Deer - Buck,8,8/20/2018 1:05
732,B14,3,8/20/2018 1:04,8/20/2018,1:04:43,Deer - Doe,8,8/20/2018 1:04
733,B12,3,8/21/2018 14:45,8/21/2018,14:45:07,Deer - Doe,8,8/21/2018 14:45
734,B14,4,8/21/2018 10:32,8/21/2018,10:32:15,Deer - Buck,8,8/21/2018 10:32
735,B14,5,8/21/2018 10:37,8/21/2018,10:37:16,Deer - Buck,8,8/21/2018 10:37
736,B14,3,8/21/2018 19:19,8/21/2018,19:19:16,Deer - Doe,8,8/21/2018 19:19
737,D12,3,8/21/2018 2:24,8/21/2018,2:24:29,Deer - Doe,8,8/21/2018 2:24
738,B12,4,8/22/2018 20:09,8/22/2018,20:09:42,Deer - Doe,8,8/22/2018 20:09
739,B14,2,8/22/2018 20:36,8/22/2018,20:36:18,Deer - Doe,8,8/22/2018 20:36
740,B14,3,8/22/2018 10:08,8/22/2018,10:08:00,Deer - Doe,8,8/22/2018 10:08
741,B14,3,8/22/2018 20:36,8/22/2018,20:36:26,Deer - Doe,8,8/22/2018 20:36
743,F10,2,8/22/2018 15:31,8/22/2018,15:31:26,Deer - Doe,8,8/22/2018 15:31
744,F10,2,8/22/2018 18:00,8/22/2018,18:00:48,Deer - Doe,8,8/22/2018 18:00
745,B12,2,8/23/2018 6:58,8/23/2018,6:58:38,Deer - Doe,8,8/23/2018 6:58
746,C17,4,8/23/2018 6:49,8/23/2018,6:49:54,Deer - Doe,8,8/23/2018 6:49
747,D12,3,8/23/2018 8:32,8/23/2018,8:32:37,Deer - Doe,8,8/23/2018 8:32
748,D12,3,8/23/2018 10:04,8/23/2018,10:04:58,Deer - Doe,8,8/23/2018 10:04
749,D12,4,8/23/2018 8:31,8/23/2018,8:31:37,Deer - Doe,8,8/23/2018 8:31
750,D12,4,8/23/2018 10:04,8/23/2018,10:04:55,Deer - Doe,8,8/23/2018 10:04
751,D12,4,8/23/2018 15:33,8/23/2018,15:33:41,Deer - Doe,8,8/23/2018 15:33
752,D14,3,8/23/2018 8:31,8/23/2018,8:31:33,Deer - Doe,8,8/23/2018 8:31
753,D16,3,8/23/2018 21:12,8/23/2018,21:12:00,Deer - Doe,8,8/23/2018 21:12
754,B12,4,8/24/2018 2:35,8/24/2018,2:35:22,Deer - Doe,8,8/24/2018 2:35
755,D14,3,8/24/2018 20:30,8/24/2018,20:30:51,Deer - Doe,8,8/24/2018 20:30
756,B14,3,8/25/2018 7:09,8/25/2018,7:09:01,Deer - Doe,8,8/25/2018 7:09
757,B14,4,8/25/2018 7:09,8/25/2018,7:09:49,Deer - Doe,8,8/25/2018 7:09
758,C17,4,8/25/2018 10:10,8/25/2018,10:10:13,Deer - Doe,8,8/25/2018 10:10
759,F10,3,8/25/2018 8:15,8/25/2018,8:15:26,Deer - Doe,8,8/25/2018 8:15
760,D14,3,8/26/2018 11:01,8/26/2018,11:01:57,Deer - Doe,8,8/26/2018 11:01
761,D14,4,8/26/2018 11:03,8/26/2018,11:03:28,Deer - Doe,8,8/26/2018 11:03
762,D16,3,8/26/2018 11:18,8/26/2018,11:18:36,Deer - Doe,8,8/26/2018 11:18
763,A13,4,8/27/2018 3:10,8/27/2018,3:10:32,Deer - Doe,8,8/27/2018 3:10
764,B14,1,8/27/2018 21:12,8/27/2018,21:12:25,Deer - Doe,8,8/27/2018 21:12
765,B14,2,8/27/2018 7:30,8/27/2018,7:30:23,Deer - Doe,8,8/27/2018 7:30
766,B14,3,8/27/2018 4:29,8/27/2018,4:29:00,Deer - Doe,8,8/27/2018 4:29
767,B14,3,8/27/2018 20:58,8/27/2018,20:58:14,Deer - Doe,8,8/27/2018 20:58
769,D14,3,8/27/2018 2:54,8/27/2018,2:54:16,Deer - Doe,8,8/27/2018 2:54
770,D16,3,8/27/2018 3:19,8/27/2018,3:19:45,Deer - Doe,8,8/27/2018 3:19
771,B14,4,8/28/2018 10:35,8/28/2018,10:35:13,Deer - Doe,8,8/28/2018 10:35
772,E13,2,8/28/2018 18:45,8/28/2018,18:45:04,Deer - Doe,8,8/28/2018 18:45
773,B14,2,8/29/2018 1:12,8/29/2018,1:12:15,Deer - Doe,8,8/29/2018 1:12
774,B14,4,8/29/2018 1:10,8/29/2018,1:10:56,Deer - Doe,8,8/29/2018 1:10
775,D12,4,8/29/2018 8:34,8/29/2018,8:34:56,Deer - Doe,8,8/29/2018 8:34
776,D14,3,8/29/2018 18:08,8/29/2018,18:08:02,Deer - Doe,8,8/29/2018 18:08
777,B12,3,8/30/2018 7:11,8/30/2018,7:11:36,Deer - Doe,8,8/30/2018 7:11
778,B12,4,8/30/2018 7:12,8/30/2018,7:12:06,Deer - Doe,8,8/30/2018 7:12
779,B14,3,8/30/2018 6:00,8/30/2018,6:00:02,Deer - Buck,8,8/30/2018 6:00
780,B14,4,8/30/2018 6:02,8/30/2018,6:02:47,Deer - Buck,8,8/30/2018 6:02
781,D14,3,8/30/2018 20:57,8/30/2018,20:57:02,Deer - Doe,8,8/30/2018 20:57
782,E15,2,8/30/2018 9:09,8/30/2018,9:09:44,Deer - Doe,8,8/30/2018 9:09
783,F10,3,8/30/2018 7:33,8/30/2018,7:33:08,Deer - Doe,8,8/30/2018 7:33
784,B14,2,8/31/2018 3:42,8/31/2018,3:42:34,Deer - Buck,8,8/31/2018 3:42
785,B14,3,8/31/2018 2:58,8/31/2018,2:58:21,Deer - Buck,8,8/31/2018 2:58
786,B14,3,8/31/2018 3:40,8/31/2018,3:40:18,Deer - Buck,8,8/31/2018 3:40
787,B14,3,8/31/2018 9:37,8/31/2018,9:37:49,Deer - Buck,8,8/31/2018 9:37
788,B14,4,8/31/2018 2:57,8/31/2018,2:57:46,Deer - Buck,8,8/31/2018 2:57
789,B14,2,8/31/2018 3:42,8/31/2018,3:42:27,Deer - Doe,8,8/31/2018 3:42
790,B14,2,8/31/2018 9:37,8/31/2018,9:37:09,Deer - Doe,8,8/31/2018 9:37
791,C17,4,8/31/2018 7:29,8/31/2018,7:29:22,Deer - Doe,8,8/31/2018 7:29
792,D14,1,8/31/2018 7:53,8/31/2018,7:53:01,Deer - Doe,8,8/31/2018 7:53
793,D14,3,8/31/2018 7:48,8/31/2018,7:48:48,Deer - Doe,8,8/31/2018 7:48
794,E15,2,8/31/2018 0:38,8/31/2018,0:38:25,Deer - Doe,8,8/31/2018 0:38
796,D14,1,9/2/2018 7:59,9/2/2018,7:59:03,Deer - Doe,9,9/2/2018 7:59
797,D14,1,9/2/2018 8:14,9/2/2018,8:14:03,Deer - Doe,9,9/2/2018 8:14
798,B14,3,9/3/2018 21:08,9/3/2018,21:08:33,Deer - Doe,9,9/3/2018 21:08
800,D14,1,9/3/2018 2:00,9/3/2018,2:00:02,Deer - Doe,9,9/3/2018 2:00
801,D14,1,9/3/2018 7:47,9/3/2018,7:47:21,Deer - Doe,9,9/3/2018 7:47
802,F10,3,9/3/2018 16:37,9/3/2018,16:37:36,Deer - Doe,9,9/3/2018 16:37
803,B12,2,9/4/2018 7:17,9/4/2018,7:17:19,Deer - Doe,9,9/4/2018 7:17
804,B12,3,9/4/2018 7:16,9/4/2018,7:16:04,Deer - Doe,9,9/4/2018 7:16
805,D14,1,9/4/2018 9:44,9/4/2018,9:44:30,Deer - Doe,9,9/4/2018 9:44
806,D16,3,9/4/2018 6:20,9/4/2018,6:20:11,Deer - Doe,9,9/4/2018 6:20
807,D16,3,9/5/2018 6:03,9/5/2018,6:03:23,Deer - Doe,9,9/5/2018 6:03
808,B12,3,9/6/2018 11:50,9/6/2018,11:50:25,Deer - Doe,9,9/6/2018 11:50
810,C15,3,9/6/2018 22:52,9/6/2018,22:52:54,Deer - Doe,9,9/6/2018 22:52
811,D14,2,9/6/2018 1:21,9/6/2018,1:21:54,Deer - Doe,9,9/6/2018 1:21
812,D14,4,9/6/2018 18:21,9/6/2018,18:21:50,Deer - Doe,9,9/6/2018 18:21
813,F10,3,9/6/2018 9:06,9/6/2018,9:06:31,Deer - Doe,9,9/6/2018 9:06
814,B12,4,9/7/2018 20:08,9/7/2018,20:08:18,Deer - Buck,9,9/7/2018 20:08
815,B14,4,9/8/2018 21:09,9/8/2018,21:09:47,Deer - Doe,9,9/8/2018 21:09
817,D14,4,9/8/2018 2:49,9/8/2018,2:49:01,Deer - Doe,9,9/8/2018 2:49
818,C15,3,9/9/2018 0:36,9/9/2018,0:36:40,Deer - Doe,9,9/9/2018 0:36
819,D14,2,9/9/2018 8:09,9/9/2018,8:09:47,Deer - Doe,9,9/9/2018 8:09
820,D14,2,9/10/2018 9:45,9/10/2018,9:45:44,Deer - Doe,9,9/10/2018 9:45
821,D14,3,9/10/2018 9:45,9/10/2018,9:45:38,Deer - Doe,9,9/10/2018 9:45
822,D12,3,9/11/2018 8:41,9/11/2018,8:41:06,Deer - Doe,9,9/11/2018 8:41
823,D12,3,9/11/2018 23:05,9/11/2018,23:05:18,Deer - Doe,9,9/11/2018 23:05
824,B14,1,9/12/2018 10:48,9/12/2018,10:48:37,Deer - Doe,9,9/12/2018 10:48
825,B14,2,9/12/2018 10:48,9/12/2018,10:48:34,Deer - Doe,9,9/12/2018 10:48
826,B14,3,9/12/2018 10:52,9/12/2018,10:52:11,Deer - Doe,9,9/12/2018 10:52
827,B14,3,9/12/2018 19:56,9/12/2018,19:56:24,Deer - Doe,9,9/12/2018 19:56
828,B14,4,9/13/2018 3:28,9/13/2018,3:28:18,Deer - Buck,9,9/13/2018 3:28
829,B14,3,9/14/2018 7:11,9/14/2018,7:11:55,Deer - Doe,9,9/14/2018 7:11
