,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
318,B14,4,7/3/2018 4:15,7/3/2018,4:15:23,Deer - Doe,7,7/3/2018 4:15
319,B14,4,7/3/2018 8:37,7/3/2018,8:37:50,Deer - Doe,7,7/3/2018 8:37
320,B14,4,7/3/2018 14:10,7/3/2018,14:10:29,Deer - Doe,7,7/3/2018 14:10
321,B14,4,7/3/2018 14:52,7/3/2018,14:52:06,Deer - Doe,7,7/3/2018 14:52
322,B14,4,7/3/2018 21:15,7/3/2018,21:15:01,Deer - Doe,7,7/3/2018 21:15
323,B14,1,7/4/2018 20:16,7/4/2018,20:16:15,Deer - Doe,7,7/4/2018 20:16
324,B14,2,7/4/2018 8:25,7/4/2018,8:25:17,Deer - Doe,7,7/4/2018 8:25
325,B14,2,7/4/2018 11:24,7/4/2018,11:24:57,Deer - Doe,7,7/4/2018 11:24
326,B14,2,7/4/2018 15:54,7/4/2018,15:54:48,Deer - Doe,7,7/4/2018 15:54
327,B14,2,7/4/2018 18:34,7/4/2018,18:34:43,Deer - Doe,7,7/4/2018 18:34
328,B14,2,7/4/2018 20:16,7/4/2018,20:16:45,Deer - Doe,7,7/4/2018 20:16
329,B14,3,7/4/2018 8:36,7/4/2018,8:36:27,Deer - Doe,7,7/4/2018 8:36
330,B14,3,7/4/2018 10:07,7/4/2018,10:07:40,Deer - Doe,7,7/4/2018 10:07
331,B14,3,7/4/2018 18:32,7/4/2018,18:32:51,Deer - Doe,7,7/4/2018 18:32
332,B14,3,7/4/2018 20:47,7/4/2018,20:47:00,Deer - Doe,7,7/4/2018 20:47
333,B14,3,7/4/2018 23:50,7/4/2018,23:50:40,Deer - Doe,7,7/4/2018 23:50
334,B14,4,7/4/2018 1:45,7/4/2018,1:45:05,Deer - Doe,7,7/4/2018 1:45
335,B14,4,7/4/2018 15:58,7/4/2018,15:58:49,Deer - Doe,7,7/4/2018 15:58
336,B14,4,7/4/2018 23:52,7/4/2018,23:52:16,Deer - Doe,7,7/4/2018 23:52
337,D14,4,7/4/2018 17:39,7/4/2018,17:39:45,Deer - Doe,7,7/4/2018 17:39
338,E15,3,7/4/2018 20:24,7/4/2018,20:24:40,Deer - Doe,7,7/4/2018 20:24
339,F10,4,7/4/2018 8:10,7/4/2018,8:10:17,Deer - Doe,7,7/4/2018 8:10
340,A13,4,7/5/2018 19:35,7/5/2018,19:35:28,Deer - Doe,7,7/5/2018 19:35
341,B14,4,7/5/2018 21:36,7/5/2018,21:36:46,Deer - Buck,7,7/5/2018 21:36
342,B14,5,7/5/2018 21:36,7/5/2018,21:36:45,Deer - Buck,7,7/5/2018 21:36
343,B14,2,7/5/2018 15:26,7/5/2018,15:26:40,Deer - Doe,7,7/5/2018 15:26
344,B14,3,7/5/2018 9:17,7/5/2018,9:17:05,Deer - Doe,7,7/5/2018 9:17
345,B14,3,7/5/2018 11:35,7/5/2018,11:35:02,Deer - Doe,7,7/5/2018 11:35
346,B14,3,7/5/2018 19:00,7/5/2018,19:00:34,Deer - Doe,7,7/5/2018 19:00
347,B14,3,7/5/2018 21:26,7/5/2018,21:26:44,Deer - Doe,7,7/5/2018 21:26
