"","Station","BCI","DateTimeOriginal","Date","Time","Species","Month","TimeStamp"
"984","B02",3,"2018-08-18 5:11:00","8/18/2018","5:11:33","Deer - Buck",8,2018-08-18 05:11:00
"985","B02",4,"2018-08-18 5:11:00","8/18/2018","5:11:01","Deer - Buck",8,2018-08-18 05:11:00
"986","E05",2,"2018-08-18 22:03:25","8/18/2018","22:03:25","Deer - Doe",8,2018-08-18 22:03:25
"987","E07",3,"2018-08-18 3:33:24","8/18/2018","3:33:24","Deer - Doe",8,2018-08-18 03:33:24
"988","E09",1,"2018-08-18 10:22:17","8/18/2018","10:22:17","Deer - Doe",8,2018-08-18 10:22:17
"989","E09",1,"2018-08-18 11:50:14","8/18/2018","11:50:14","Deer - Doe",8,2018-08-18 11:50:14
"990","F08",4,"2018-08-18 17:03:57","8/18/2018","17:03:57","Deer - Doe",8,2018-08-18 17:03:57
"991","G09",3,"2018-08-18 1:18:51","8/18/2018","1:18:51","Deer - Doe",8,2018-08-18 01:18:51
"992","B02",3,"2018-08-19 11:13:00","8/19/2018","11:13:52","Deer - Buck",8,2018-08-19 11:13:00
"993","B02",1,"2018-08-19 9:48:00","8/19/2018","9:48:44","Deer - Doe",8,2018-08-19 09:48:00
"994","B02",1,"2018-08-19 18:06:00","8/19/2018","18:06:05","Deer - Doe",8,2018-08-19 18:06:00
"995","B02",2,"2018-08-19 8:28:00","8/19/2018","8:28:15","Deer - Doe",8,2018-08-19 08:28:00
"996","B02",3,"2018-08-19 8:32:00","8/19/2018","8:32:33","Deer - Doe",8,2018-08-19 08:32:00
"997","D08",1,"2018-08-19 8:36:07","8/19/2018","8:36:07","Deer - Doe",8,2018-08-19 08:36:07
"998","E09",1,"2018-08-19 5:44:34","8/19/2018","5:44:34","Deer - Doe",8,2018-08-19 05:44:34
"999","E09",1,"2018-08-19 7:36:34","8/19/2018","7:36:34","Deer - Doe",8,2018-08-19 07:36:34
"1000","D08",1,"2018-08-20 10:23:46","8/20/2018","10:23:46","Deer - Doe",8,2018-08-20 10:23:46
"1001","E09",3,"2018-08-20 10:37:37","8/20/2018","10:37:37","Deer - Doe",8,2018-08-20 10:37:37
"1002","E09",3,"2018-08-20 11:11:15","8/20/2018","11:11:15","Deer - Doe",8,2018-08-20 11:11:15
"1003","E11",0,"2018-08-20 17:19:44","8/20/2018","17:19:44","Deer - Doe",8,2018-08-20 17:19:44
"1004","F08",3,"2018-08-20 4:52:19","8/20/2018","4:52:19","Deer - Doe",8,2018-08-20 04:52:19
"1005","B02",2,"2018-08-21 11:01:00","8/21/2018","11:01:42","Deer - Doe",8,2018-08-21 11:01:00
"1006","B02",3,"2018-08-21 11:02:00","8/21/2018","11:02:24","Deer - Doe",8,2018-08-21 11:02:00
"1007","C03",1,"2018-08-21 18:30:54","8/21/2018","18:30:54","Deer - Doe",8,2018-08-21 18:30:54
"1008","C03",3,"2018-08-21 15:17:29","8/21/2018","15:17:29","Deer - Doe",8,2018-08-21 15:17:29
"1009","F08",2,"2018-08-21 9:09:52","8/21/2018","9:09:52","Deer - Doe",8,2018-08-21 09:09:52
"1010","F08",2,"2018-08-21 22:05:03","8/21/2018","22:05:03","Deer - Doe",8,2018-08-21 22:05:03
"1011","F08",3,"2018-08-21 22:08:26","8/21/2018","22:08:26","Deer - Doe",8,2018-08-21 22:08:26
"1012","B02",1,"2018-08-22 12:18:00","8/22/2018","12:18:14","Deer - Doe",8,2018-08-22 12:18:00
"1013","E05",1,"2018-08-22 9:05:49","8/22/2018","9:05:49","Deer - Doe",8,2018-08-22 09:05:49
"1014","E05",2,"2018-08-22 8:31:36","8/22/2018","8:31:36","Deer - Doe",8,2018-08-22 08:31:36
"1015","E05",2,"2018-08-22 9:27:55","8/22/2018","9:27:55","Deer - Doe",8,2018-08-22 09:27:55
"1016","E05",3,"2018-08-22 8:36:46","8/22/2018","8:36:46","Deer - Doe",8,2018-08-22 08:36:46
"1017","F10",2,"2018-08-22 15:31:26","8/22/2018","15:31:26","Deer - Buck",8,2018-08-22 15:31:26
"1018","F10",2,"2018-08-22 18:00:48","8/22/2018","18:00:48","Deer - Buck",8,2018-08-22 18:00:48
"1019","F10",2,"2018-08-22 15:31:26","8/22/2018","15:31:26","Deer - Doe",8,2018-08-22 15:31:26
"1020","F10",2,"2018-08-22 18:00:48","8/22/2018","18:00:48","Deer - Doe",8,2018-08-22 18:00:48
"1021","G09",5,"2018-08-22 11:40:23","8/22/2018","11:40:23","Deer - Buck",8,2018-08-22 11:40:23
"1022","G09",5,"2018-08-22 12:10:28","8/22/2018","12:10:28","Deer - Buck",8,2018-08-22 12:10:28
"1023","G09",4,"2018-08-22 1:47:58","8/22/2018","1:47:58","Deer - Doe",8,2018-08-22 01:47:58
"1024","E05",4,"2018-08-23 2:27:45","8/23/2018","2:27:45","Deer - Buck",8,2018-08-23 02:27:45
"1025","F06",3,"2018-08-23 5:43:17","8/23/2018","5:43:17","Deer - Doe",8,2018-08-23 05:43:17
"1026","F08",2,"2018-08-23 7:24:20","8/23/2018","7:24:20","Deer - Doe",8,2018-08-23 07:24:20
"1027","F08",2,"2018-08-23 11:25:23","8/23/2018","11:25:23","Deer - Doe",8,2018-08-23 11:25:23
"1028","F08",2,"2018-08-23 15:19:39","8/23/2018","15:19:39","Deer - Doe",8,2018-08-23 15:19:39
"1029","F08",3,"2018-08-23 11:21:51","8/23/2018","11:21:51","Deer - Doe",8,2018-08-23 11:21:51
"1030","F08",3,"2018-08-23 16:20:20","8/23/2018","16:20:20","Deer - Doe",8,2018-08-23 16:20:20
"1031","G11",1,"2018-08-23 9:59:25","8/23/2018","9:59:25","Deer - Doe",8,2018-08-23 09:59:25
"1032","B02",1,"2018-08-24 4:06:00","8/24/2018","4:06:19","Deer - Doe",8,2018-08-24 04:06:00
"1033","B02",2,"2018-08-24 4:08:00","8/24/2018","4:08:31","Deer - Doe",8,2018-08-24 04:08:00
"1034","F08",2,"2018-08-24 0:21:00","8/24/2018","0:21:00","Deer - Doe",8,2018-08-24 00:21:00
"1035","F08",3,"2018-08-24 11:26:52","8/24/2018","11:26:52","Deer - Doe",8,2018-08-24 11:26:52
"1036","E05",3,"2018-08-25 0:40:49","8/25/2018","0:40:49","Deer - Doe",8,2018-08-25 00:40:49
"1037","E09",1,"2018-08-25 9:51:34","8/25/2018","9:51:34","Deer - Doe",8,2018-08-25 09:51:34
"1038","F08",2,"2018-08-25 6:48:32","8/25/2018","6:48:32","Deer - Doe",8,2018-08-25 06:48:32
"1039","F10",3,"2018-08-25 8:15:26","8/25/2018","8:15:26","Deer - Buck",8,2018-08-25 08:15:26
"1040","F10",3,"2018-08-25 8:15:26","8/25/2018","8:15:26","Deer - Doe",8,2018-08-25 08:15:26
"1041","B02",2,"2018-08-26 20:16:00","8/26/2018","20:16:35","Deer - Buck",8,2018-08-26 20:16:00
"1042","B02",3,"2018-08-26 20:17:00","8/26/2018","20:17:10","Deer - Buck",8,2018-08-26 20:17:00
"1043","E05",3,"2018-08-26 17:12:51","8/26/2018","17:12:51","Deer - Doe",8,2018-08-26 17:12:51
"1044","E05",3,"2018-08-26 17:58:21","8/26/2018","17:58:21","Deer - Doe",8,2018-08-26 17:58:21
