InputID,TargetID,Distance
J2,P4,2708.00220085963
J2,H3,81.3058572201429
J3,A5b,4282.21275222852
J3,D3b,1389.11869257343
J3,H2,2462.06087270817
J3,H4,4765.54136974284
J3,H5,6218.84756471058
J3,I5,2244.14428645363
J3,J1,3381.07341508674
J3,J2,2461.2003714471
J3,J3,4400.4606544504
J3,J5,5571.29856028732
J3,K1,1790.46610100759
J3,K2,1101.40513131545
J3,Q5,3283.11531807038
J3,A4,2355.39373240552
J3,F2,3312.02437753104
J3,K4,4530.09124570216
J3,P4,4099.08577284248
J3,H3,2132.44561411077
J5,A5b,1735.13201916503
J5,D3b,5960.44230231487
J5,H2,2802.05584124634
J5,H4,460.63565853095
J5,H5,3442.17525724688
J5,I5,3709.87559737054
J5,J1,2374.24217245567
J5,J2,2803.06284066303
